Text Type,API Name,id,dataset,ai_score,human_score,Error_message
AI,ORIGINALITY,GPT-3-0,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-1,GPT-3,1,0
AI,ORIGINALITY,GPT-3-2,GPT-3,0.999,0.001
AI,ORIGINALITY,GPT-3-3,GPT-3,1,0
AI,ORIGINALITY,GPT-3-4,GPT-3,1,0
AI,ORIGINALITY,GPT-3-5,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-6,GPT-3,1,0
AI,ORIGINALITY,GPT-3-7,GPT-3,0.9974,0.0026
AI,ORIGINALITY,GPT-3-8,GPT-3,1,0
AI,ORIGINALITY,GPT-3-9,GPT-3,1,0
AI,ORIGINALITY,GPT-3-10,GPT-3,0.9997,0.0003
AI,ORIGINALITY,GPT-3-11,GPT-3,1,0
AI,ORIGINALITY,GPT-3-12,GPT-3,1,0
AI,ORIGINALITY,GPT-3-13,GPT-3,0.999,0.001
AI,ORIGINALITY,GPT-3-14,GPT-3,1,0
AI,ORIGINALITY,GPT-3-15,GPT-3,1,0
AI,ORIGINALITY,GPT-3-16,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-17,GPT-3,0.9963,0.0037
AI,ORIGINALITY,GPT-3-18,GPT-3,1,0
AI,ORIGINALITY,GPT-3-19,GPT-3,0.9994,0.0006
AI,ORIGINALITY,GPT-3-20,GPT-3,1,0
AI,ORIGINALITY,GPT-3-21,GPT-3,1,0
AI,ORIGINALITY,GPT-3-22,GPT-3,1,0
AI,ORIGINALITY,GPT-3-23,GPT-3,1,0
AI,ORIGINALITY,GPT-3-24,GPT-3,1,0
AI,ORIGINALITY,GPT-3-25,GPT-3,1,0
AI,ORIGINALITY,GPT-3-26,GPT-3,0.9997,0.0003
AI,ORIGINALITY,GPT-3-27,GPT-3,1,0
AI,ORIGINALITY,GPT-3-28,GPT-3,1,0
AI,ORIGINALITY,GPT-3-29,GPT-3,1,0
AI,ORIGINALITY,GPT-3-30,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-31,GPT-3,1,0
AI,ORIGINALITY,GPT-3-32,GPT-3,1,0
AI,ORIGINALITY,GPT-3-33,GPT-3,1,0
AI,ORIGINALITY,GPT-3-34,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-35,GPT-3,0.9999,0.0001
AI,ORIGINALITY,GPT-3-36,GPT-3,0.9998,0.0002
AI,ORIGINALITY,GPT-3-37,GPT-3,1,0
AI,ORIGINALITY,GPT-3-38,GPT-3,0.8879,0.1121
AI,ORIGINALITY,GPT-3-39,GPT-3,1,0
AI,ORIGINALITY,GPT-3-40,GPT-3,1,0
AI,ORIGINALITY,GPT-3-41,GPT-3,1,0
AI,ORIGINALITY,GPT-3-42,GPT-3,1,0
AI,ORIGINALITY,GPT-3-43,GPT-3,1,0
